Board ID,Board name,Board maker,Chip ID,U-Boot defconfig,Build tuple,Device tree

raspberrypi_2b,Raspberry Pi 2 B,Raspberry Pi Foundation,bcm2836,rpi_2_defconfig,arm-linux-gnueabihf,bcm2836-rpi-2-b
raspberrypi_3b,Raspberry Pi 3 B,Raspberry Pi Foundation,bcm2837,rpi_3_defconfig,aarch64-linux-gnu,bcm2837-rpi-3-b
raspberrypi_3a_plus,Raspberry Pi 3 A+,Raspberry Pi Foundation,bcm2837,rpi_3_defconfig,aarch64-linux-gnu,bcm2837-rpi-3-a-plus
raspberrypi_3b_plus,Raspberry Pi 3 B+,Raspberry Pi Foundation,bcm2837,rpi_3_defconfig,aarch64-linux-gnu,bcm2837-rpi-3-b-plus

mele_a1000,Mele A1000,Mele,allwinner-a10,Mele_A1000_defconfig,arm-linux-gnueabihf,sun4i-a10-a1000
ba12_tv_box,BA10 TV box,,allwinner-a10,ba10_tv_box_defconfig,arm-linux-gnueabihf,sun4i-a10-ba10-tvbox
chuwi_b7_cw0825,V7 CW0825,Chuwi,allwinner-a10,Chuwi_V7_CW0825_defconfig,arm-linux-gnueabihf,sun4i-a10-chuwi-v7-cw0825
cubieboard,Cubieboard,Cubieboard,allwinner-a10,Cubieboard_defconfig,arm-linux-gnueabihf,sun4i-a10-cubieboard
dserve_dsrv9703c,DSRV9703C,Dserve,allwinner-a10,dserve_dsrv9703c_defconfig,arm-linux-gnueabihf,sun4i-a10-dserve-dsrv9703c
gemei_g9,G9,Gemei Technologies,allwinner-a10,sunxi_Gemei_G9_defconfig,arm-linux-gnueabihf,sun4i-a10-gemei-g9
hyundai_a7hd,Hyundai A7HD,Hyundai Digital,allwinner-a10,Hyundai_A7HD_defconfig,arm-linux-gnueabihf,sun4i-a10-hyundai-a7hd
inet_3f,iNet 3F,iNet,allwinner-a10,iNet_3F_defconfig,arm-linux-gnueabihf,sun4i-a10-inet-3f
inet_3w,iNet 3W,iNet,allwinner-a10,iNet_3W_defconfig,arm-linux-gnueabihf,sun4i-a10-inet-3w
inet_1,iNet 1,iNet,allwinner-a10,inet1_defconfig,arm-linux-gnueabihf,sun4i-a10-inet1
inet_96fv2,iNet 97Fv2,iNet,allwinner-a10,inet97fv2_defconfig,arm-linux-gnueabihf,sun4i-a10-inet97fv2
inet_9f,iNet 9F,iNet,allwinner-a10,inet9f_rev03_defconfig,arm-linux-gnueabihf,sun4i-a10-inet9f-rev03
jesurun_q5,Q5,Jesurun,allwinner-a10,jesurun_q5_defconfig,arm-linux-gnueabihf,sun4i-a10-jesurun-q5
marsboard_a10,Marsboard A10,HAOYU Electronics,allwinner-a10,Marsboard_A10_defconfig,arm-linux-gnueabihf,sun4i-a10-marsboard
mini_xplus,Mini XPlus,PineRiver,allwinner-a10,Mini-X_defconfig,arm-linux-gnueabihf,sun4i-a10-mini-xplus
mk802,MK802,,allwinner-a10,mk802_defconfig,arm-linux-gnueabihf,sun4i-a10-mk802
mk802ii,MK802II,,allwinner-a10,mk802ii_defconfig,arm-linux-gnueabihf,sun4i-a10-mk802ii
a10_olinuxino_lime,A10-OLinuXino-Lime,Olimex,allwinner-a10,A10-OLinuXino-Lime_defconfig,arm-linux-gnueabihf,sun4i-a10-olinuxino-lime
pcduino,pcDuino,LinkSprite,allwinner-a10,Linksprite_pcDuino_defconfig,arm-linux-gnueabihf,sun4i-a10-pcduino
protab2_ips9,ProTab2 IPS9,Point of View,allwinner-a10,pov_protab2_ips9_defconfig,arm-linux-gnueabihf,sun4i-a10-pov-protab2-ips9

